DAUID,characteristic,value
35061105,Population_2021,783.0
35061105,Total_households,335.0
35061105,Median_income_2020,87000.0
35061106,Population_2021,517.0
35061106,Total_households,210.0
35061106,Median_income_2020,133000.0
35061107,Population_2021,525.0
35061107,Total_households,145.0
35061107,Median_income_2020,102000.0
35061108,Population_2021,566.0
35061108,Total_households,130.0
35061108,Median_income_2020,85000.0
35061113,Population_2021,814.0
35061113,Total_households,305.0
35061113,Median_income_2020,112000.0
35061114,Population_2021,452.0
35061114,Total_households,175.0
35061114,Median_income_2020,135000.0
35061115,Population_2021,467.0
35061115,Total_households,170.0
35061115,Median_income_2020,121000.0
35061116,Population_2021,294.0
35061116,Total_households,105.0
35061116,Median_income_2020,136000.0
35061117,Population_2021,612.0
35061117,Total_households,210.0
35061117,Median_income_2020,168000.0
35061118,Population_2021,551.0
35061118,Total_households,195.0
35061118,Median_income_2020,126000.0
35061119,Population_2021,975.0
35061119,Total_households,315.0
35061119,Median_income_2020,154000.0
35061120,Population_2021,303.0
35061120,Total_households,150.0
35061120,Median_income_2020,72000.0
35061121,Population_2021,301.0
35061121,Total_households,115.0
35061121,Median_income_2020,89000.0
35061122,Population_2021,637.0
35061122,Total_households,230.0
35061122,Median_income_2020,123000.0
35061123,Population_2021,653.0
35061123,Total_households,230.0
35061123,Median_income_2020,111000.0
35061124,Population_2021,861.0
35061124,Total_households,335.0
35061124,Median_income_2020,105000.0
35061125,Population_2021,333.0
35061125,Total_households,140.0
35061125,Median_income_2020,115000.0
35061126,Population_2021,413.0
35061126,Total_households,150.0
35061126,Median_income_2020,126000.0
35061127,Population_2021,875.0
35061127,Total_households,300.0
35061127,Median_income_2020,135000.0
35061128,Population_2021,477.0
35061128,Total_households,160.0
35061128,Median_income_2020,127000.0
35061129,Population_2021,397.0
35061129,Total_households,155.0
35061129,Median_income_2020,115000.0
35061130,Population_2021,644.0
35061130,Total_households,220.0
35061130,Median_income_2020,121000.0
35061131,Population_2021,799.0
35061131,Total_households,280.0
35061131,Median_income_2020,123000.0
35061132,Population_2021,476.0
35061132,Total_households,180.0
35061132,Median_income_2020,115000.0
35061133,Population_2021,874.0
35061133,Total_households,330.0
35061133,Median_income_2020,119000.0
35061134,Population_2021,695.0
35061134,Total_households,255.0
35061134,Median_income_2020,131000.0
35061135,Population_2021,697.0
35061135,Total_households,255.0
35061135,Median_income_2020,118000.0
35061136,Population_2021,379.0
35061136,Total_households,145.0
35061136,Median_income_2020,118000.0
35061137,Population_2021,454.0
35061137,Total_households,160.0
35061137,Median_income_2020,125000.0
35061138,Population_2021,355.0
35061138,Total_households,130.0
35061138,Median_income_2020,123000.0
35061140,Population_2021,1312.0
35061140,Total_households,495.0
35061140,Median_income_2020,138000.0
35061141,Population_2021,807.0
35061141,Total_households,290.0
35061141,Median_income_2020,125000.0
35061142,Population_2021,326.0
35061142,Total_households,130.0
35061142,Median_income_2020,107000.0
35061143,Population_2021,982.0
35061143,Total_households,345.0
35061143,Median_income_2020,139000.0
35061144,Population_2021,410.0
35061144,Total_households,170.0
35061144,Median_income_2020,110000.0
35061145,Population_2021,380.0
35061145,Total_households,160.0
35061145,Median_income_2020,105000.0
35061146,Population_2021,440.0
35061146,Total_households,180.0
35061146,Median_income_2020,103000.0
35061147,Population_2021,1328.0
35061147,Total_households,565.0
35061147,Median_income_2020,108000.0
35061148,Population_2021,1401.0
35061148,Total_households,445.0
35061148,Median_income_2020,170000.0
35061149,Population_2021,792.0
35061149,Total_households,280.0
35061149,Median_income_2020,127000.0
35061150,Population_2021,732.0
35061150,Total_households,250.0
35061150,Median_income_2020,134000.0
35061151,Population_2021,524.0
35061151,Total_households,175.0
35061151,Median_income_2020,150000.0
35061152,Population_2021,280.0
35061152,Total_households,95.0
35061152,Median_income_2020,137000.0
35061153,Population_2021,350.0
35061153,Total_households,130.0
35061153,Median_income_2020,143000.0
35061154,Population_2021,488.0
35061154,Total_households,180.0
35061154,Median_income_2020,106000.0
35061155,Population_2021,459.0
35061155,Total_households,155.0
35061155,Median_income_2020,133000.0
35061156,Population_2021,367.0
35061156,Total_households,140.0
35061156,Median_income_2020,136000.0
35061157,Population_2021,408.0
35061157,Total_households,135.0
35061157,Median_income_2020,154000.0
35061158,Population_2021,522.0
35061158,Total_households,195.0
35061158,Median_income_2020,113000.0
35061159,Population_2021,733.0
35061159,Total_households,345.0
35061159,Median_income_2020,80000.0
35061160,Population_2021,775.0
35061160,Total_households,305.0
35061160,Median_income_2020,108000.0
35061161,Population_2021,646.0
35061161,Total_households,250.0
35061161,Median_income_2020,113000.0
35061171,Population_2021,388.0
35061171,Total_households,120.0
35061171,Median_income_2020,129000.0
35061174,Population_2021,382.0
35061174,Total_households,205.0
35061174,Median_income_2020,69000.0
35061175,Population_2021,513.0
35061175,Total_households,240.0
35061175,Median_income_2020,88000.0
35061178,Population_2021,611.0
35061178,Total_households,225.0
35061178,Median_income_2020,160000.0
35061179,Population_2021,609.0
35061179,Total_households,245.0
35061179,Median_income_2020,121000.0
35061180,Population_2021,527.0
35061180,Total_households,280.0
35061180,Median_income_2020,77000.0
35061181,Population_2021,521.0
35061181,Total_households,220.0
35061181,Median_income_2020,110000.0
35061182,Population_2021,576.0
35061182,Total_households,330.0
35061182,Median_income_2020,46000.0
35061183,Population_2021,520.0
35061183,Total_households,190.0
35061183,Median_income_2020,164000.0
35061184,Population_2021,493.0
35061184,Total_households,215.0
35061184,Median_income_2020,98000.0
35061185,Population_2021,540.0
35061185,Total_households,230.0
35061185,Median_income_2020,100000.0
35061186,Population_2021,495.0
35061186,Total_households,155.0
35061186,Median_income_2020,212000.0
35061188,Population_2021,440.0
35061188,Total_households,235.0
35061188,Median_income_2020,71500.0
35061189,Population_2021,788.0
35061189,Total_households,500.0
35061189,Median_income_2020,59600.0
35061190,Population_2021,1649.0
35061190,Total_households,1125.0
35061190,Median_income_2020,55600.0
35061191,Population_2021,565.0
35061191,Total_households,335.0
35061191,Median_income_2020,70500.0
35061192,Population_2021,791.0
35061192,Total_households,380.0
35061192,Median_income_2020,70500.0
35061193,Population_2021,650.0
35061193,Total_households,290.0
35061193,Median_income_2020,105000.0
35061194,Population_2021,483.0
35061194,Total_households,190.0
35061194,Median_income_2020,118000.0
35061195,Population_2021,466.0
35061195,Total_households,205.0
35061195,Median_income_2020,106000.0
35061196,Population_2021,506.0
35061196,Total_households,335.0
35061196,Median_income_2020,49600.0
35061197,Population_2021,830.0
35061197,Total_households,390.0
35061197,Median_income_2020,60800.0
35061198,Population_2021,430.0
35061198,Total_households,180.0
35061198,Median_income_2020,114000.0
35061201,Population_2021,1046.0
35061201,Total_households,555.0
35061201,Median_income_2020,73500.0
35061202,Population_2021,262.0
35061202,Total_households,100.0
35061202,Median_income_2020,120000.0
35061203,Population_2021,572.0
35061203,Total_households,205.0
35061203,Median_income_2020,101000.0
35061204,Population_2021,1218.0
35061204,Total_households,355.0
35061204,Median_income_2020,46400.0
35061208,Population_2021,559.0
35061208,Total_households,215.0
35061208,Median_income_2020,142000.0
35061209,Population_2021,429.0
35061209,Total_households,160.0
35061209,Median_income_2020,143000.0
35061210,Population_2021,424.0
35061210,Total_households,165.0
35061210,Median_income_2020,151000.0
35061213,Population_2021,546.0
35061213,Total_households,200.0
35061213,Median_income_2020,139000.0
35061214,Population_2021,568.0
35061214,Total_households,235.0
35061214,Median_income_2020,80000.0
35061215,Population_2021,281.0
35061215,Total_households,110.0
35061215,Median_income_2020,138000.0
35061222,Population_2021,770.0
35061222,Total_households,455.0
35061222,Median_income_2020,63600.0
35061225,Population_2021,565.0
35061225,Total_households,275.0
35061225,Median_income_2020,50000.0
35061227,Population_2021,381.0
35061227,Total_households,150.0
35061227,Median_income_2020,110000.0
35061228,Population_2021,452.0
35061228,Total_households,180.0
35061228,Median_income_2020,119000.0
35061229,Population_2021,567.0
35061229,Total_households,205.0
35061229,Median_income_2020,157000.0
35061230,Population_2021,411.0
35061230,Total_households,155.0
35061230,Median_income_2020,141000.0
35061231,Population_2021,1003.0
35061231,Total_households,415.0
35061231,Median_income_2020,85000.0
35061232,Population_2021,517.0
35061232,Total_households,210.0
35061232,Median_income_2020,86000.0
35061233,Population_2021,350.0
35061233,Total_households,135.0
35061233,Median_income_2020,105000.0
35061234,Population_2021,390.0
35061234,Total_households,150.0
35061234,Median_income_2020,101000.0
35061235,Population_2021,488.0
35061235,Total_households,205.0
35061235,Median_income_2020,60800.0
35061236,Population_2021,1141.0
35061236,Total_households,395.0
35061236,Median_income_2020,70000.0
35061237,Population_2021,239.0
35061237,Total_households,100.0
35061237,Median_income_2020,
35061238,Population_2021,423.0
35061238,Total_households,160.0
35061238,Median_income_2020,158000.0
35061239,Population_2021,547.0
35061239,Total_households,195.0
35061239,Median_income_2020,154000.0
35061240,Population_2021,847.0
35061240,Total_households,330.0
35061240,Median_income_2020,131000.0
35061241,Population_2021,236.0
35061241,Total_households,90.0
35061241,Median_income_2020,
35061242,Population_2021,392.0
35061242,Total_households,150.0
35061242,Median_income_2020,115000.0
35061243,Population_2021,622.0
35061243,Total_households,255.0
35061243,Median_income_2020,86000.0
35061247,Population_2021,974.0
35061247,Total_households,475.0
35061247,Median_income_2020,84000.0
35061248,Population_2021,1009.0
35061248,Total_households,345.0
35061248,Median_income_2020,131000.0
35061249,Population_2021,1120.0
35061249,Total_households,395.0
35061249,Median_income_2020,61600.0
35061250,Population_2021,701.0
35061250,Total_households,300.0
35061250,Median_income_2020,57600.0
35061251,Population_2021,687.0
35061251,Total_households,280.0
35061251,Median_income_2020,91000.0
35061252,Population_2021,1703.0
35061252,Total_households,1035.0
35061252,Median_income_2020,54800.0
35061253,Population_2021,1074.0
35061253,Total_households,635.0
35061253,Median_income_2020,64000.0
35061254,Population_2021,1022.0
35061254,Total_households,380.0
35061254,Median_income_2020,72500.0
35061256,Population_2021,773.0
35061256,Total_households,495.0
35061256,Median_income_2020,55600.0
35061257,Population_2021,1573.0
35061257,Total_households,955.0
35061257,Median_income_2020,70500.0
35061261,Population_2021,958.0
35061261,Total_households,575.0
35061261,Median_income_2020,85000.0
35061263,Population_2021,923.0
35061263,Total_households,420.0
35061263,Median_income_2020,60000.0
35061264,Population_2021,1173.0
35061264,Total_households,420.0
35061264,Median_income_2020,99000.0
35061266,Population_2021,1312.0
35061266,Total_households,510.0
35061266,Median_income_2020,123000.0
35061267,Population_2021,489.0
35061267,Total_households,210.0
35061267,Median_income_2020,77500.0
35061268,Population_2021,1331.0
35061268,Total_households,510.0
35061268,Median_income_2020,107000.0
35061269,Population_2021,1119.0
35061269,Total_households,465.0
35061269,Median_income_2020,106000.0
35061270,Population_2021,1071.0
35061270,Total_households,425.0
35061270,Median_income_2020,90000.0
35061271,Population_2021,1172.0
35061271,Total_households,520.0
35061271,Median_income_2020,96000.0
35061272,Population_2021,1095.0
35061272,Total_households,410.0
35061272,Median_income_2020,135000.0
35061273,Population_2021,1150.0
35061273,Total_households,455.0
35061273,Median_income_2020,122000.0
35061279,Population_2021,1592.0
35061279,Total_households,895.0
35061279,Median_income_2020,60400.0
35061280,Population_2021,972.0
35061280,Total_households,450.0
35061280,Median_income_2020,53200.0
35061281,Population_2021,1215.0
35061281,Total_households,695.0
35061281,Median_income_2020,59200.0
35061282,Population_2021,1852.0
35061282,Total_households,745.0
35061282,Median_income_2020,68500.0
35061284,Population_2021,1223.0
35061284,Total_households,605.0
35061284,Median_income_2020,47200.0
35061285,Population_2021,921.0
35061285,Total_households,135.0
35061285,Median_income_2020,132000.0
35061286,Population_2021,1124.0
35061286,Total_households,430.0
35061286,Median_income_2020,121000.0
35061287,Population_2021,1098.0
35061287,Total_households,480.0
35061287,Median_income_2020,88000.0
35061288,Population_2021,506.0
35061288,Total_households,185.0
35061288,Median_income_2020,158000.0
35061289,Population_2021,578.0
35061289,Total_households,215.0
35061289,Median_income_2020,62000.0
35061290,Population_2021,480.0
35061290,Total_households,175.0
35061290,Median_income_2020,138000.0
35061291,Population_2021,502.0
35061291,Total_households,210.0
35061291,Median_income_2020,101000.0
35061292,Population_2021,634.0
35061292,Total_households,250.0
35061292,Median_income_2020,111000.0
35061293,Population_2021,652.0
35061293,Total_households,290.0
35061293,Median_income_2020,100000.0
35061294,Population_2021,595.0
35061294,Total_households,245.0
35061294,Median_income_2020,108000.0
35061295,Population_2021,410.0
35061295,Total_households,165.0
35061295,Median_income_2020,101000.0
35061296,Population_2021,757.0
35061296,Total_households,260.0
35061296,Median_income_2020,135000.0
35061297,Population_2021,484.0
35061297,Total_households,170.0
35061297,Median_income_2020,114000.0
35061298,Population_2021,810.0
35061298,Total_households,320.0
35061298,Median_income_2020,96000.0
35061299,Population_2021,1389.0
35061299,Total_households,640.0
35061299,Median_income_2020,92000.0
35061300,Population_2021,416.0
35061300,Total_households,210.0
35061300,Median_income_2020,62000.0
35061301,Population_2021,684.0
35061301,Total_households,295.0
35061301,Median_income_2020,55200.0
35061302,Population_2021,247.0
35061302,Total_households,100.0
35061302,Median_income_2020,
35061303,Population_2021,808.0
35061303,Total_households,325.0
35061303,Median_income_2020,87000.0
35061304,Population_2021,864.0
35061304,Total_households,340.0
35061304,Median_income_2020,145000.0
35061305,Population_2021,343.0
35061305,Total_households,105.0
35061305,Median_income_2020,172000.0
35061306,Population_2021,298.0
35061306,Total_households,95.0
35061306,Median_income_2020,198000.0
35061307,Population_2021,473.0
35061307,Total_households,220.0
35061307,Median_income_2020,119000.0
35061308,Population_2021,1654.0
35061308,Total_households,895.0
35061308,Median_income_2020,87000.0
35061309,Population_2021,414.0
35061309,Total_households,140.0
35061309,Median_income_2020,153000.0
35061310,Population_2021,703.0
35061310,Total_households,245.0
35061310,Median_income_2020,134000.0
35061311,Population_2021,1217.0
35061311,Total_households,380.0
35061311,Median_income_2020,146000.0
35061312,Population_2021,573.0
35061312,Total_households,210.0
35061312,Median_income_2020,126000.0
35061313,Population_2021,393.0
35061313,Total_households,145.0
35061313,Median_income_2020,133000.0
35061314,Population_2021,618.0
35061314,Total_households,205.0
35061314,Median_income_2020,136000.0
35061315,Population_2021,737.0
35061315,Total_households,230.0
35061315,Median_income_2020,164000.0
35061316,Population_2021,331.0
35061316,Total_households,115.0
35061316,Median_income_2020,180000.0
35061317,Population_2021,458.0
35061317,Total_households,130.0
35061317,Median_income_2020,160000.0
35061318,Population_2021,188.0
35061318,Total_households,60.0
35061318,Median_income_2020,
35061319,Population_2021,744.0
35061319,Total_households,460.0
35061319,Median_income_2020,27200.0
35061320,Population_2021,739.0
35061320,Total_households,265.0
35061320,Median_income_2020,72000.0
35061321,Population_2021,323.0
35061321,Total_households,150.0
35061321,Median_income_2020,51600.0
35061322,Population_2021,1607.0
35061322,Total_households,870.0
35061322,Median_income_2020,35200.0
35061323,Population_2021,656.0
35061323,Total_households,250.0
35061323,Median_income_2020,107000.0
35061325,Population_2021,4316.0
35061325,Total_households,1440.0
35061325,Median_income_2020,135000.0
35061326,Population_2021,430.0
35061326,Total_households,155.0
35061326,Median_income_2020,145000.0
35061327,Population_2021,372.0
35061327,Total_households,120.0
35061327,Median_income_2020,186000.0
35061328,Population_2021,521.0
35061328,Total_households,175.0
35061328,Median_income_2020,176000.0
35061329,Population_2021,486.0
35061329,Total_households,140.0
35061329,Median_income_2020,206000.0
35061331,Population_2021,358.0
35061331,Total_households,145.0
35061331,Median_income_2020,140000.0
35061332,Population_2021,477.0
35061332,Total_households,160.0
35061332,Median_income_2020,127000.0
35061333,Population_2021,916.0
35061333,Total_households,415.0
35061333,Median_income_2020,99000.0
35061334,Population_2021,325.0
35061334,Total_households,125.0
35061334,Median_income_2020,133000.0
35061335,Population_2021,419.0
35061335,Total_households,180.0
35061335,Median_income_2020,108000.0
35061336,Population_2021,713.0
35061336,Total_households,295.0
35061336,Median_income_2020,59600.0
35061337,Population_2021,1060.0
35061337,Total_households,475.0
35061337,Median_income_2020,61600.0
35061338,Population_2021,672.0
35061338,Total_households,330.0
35061338,Median_income_2020,60800.0
35061339,Population_2021,490.0
35061339,Total_households,250.0
35061339,Median_income_2020,114000.0
35061340,Population_2021,1014.0
35061340,Total_households,370.0
35061340,Median_income_2020,60400.0
35061341,Population_2021,850.0
35061341,Total_households,380.0
35061341,Median_income_2020,85000.0
35061342,Population_2021,383.0
35061342,Total_households,130.0
35061342,Median_income_2020,188000.0
35061343,Population_2021,478.0
35061343,Total_households,230.0
35061343,Median_income_2020,110000.0
35061344,Population_2021,208.0
35061344,Total_households,60.0
35061344,Median_income_2020,
35061345,Population_2021,528.0
35061345,Total_households,270.0
35061345,Median_income_2020,108000.0
35061346,Population_2021,535.0
35061346,Total_households,245.0
35061346,Median_income_2020,134000.0
35061347,Population_2021,373.0
35061347,Total_households,55.0
35061347,Median_income_2020,
35061348,Population_2021,347.0
35061348,Total_households,130.0
35061348,Median_income_2020,114000.0
35061349,Population_2021,347.0
35061349,Total_households,150.0
35061349,Median_income_2020,97000.0
35061350,Population_2021,565.0
35061350,Total_households,245.0
35061350,Median_income_2020,65000.0
35061351,Population_2021,622.0
35061351,Total_households,215.0
35061351,Median_income_2020,101000.0
35061352,Population_2021,416.0
35061352,Total_households,170.0
35061352,Median_income_2020,90000.0
35061354,Population_2021,436.0
35061354,Total_households,175.0
35061354,Median_income_2020,90000.0
35061355,Population_2021,364.0
35061355,Total_households,130.0
35061355,Median_income_2020,128000.0
35061356,Population_2021,527.0
35061356,Total_households,180.0
35061356,Median_income_2020,100000.0
35061357,Population_2021,640.0
35061357,Total_households,175.0
35061357,Median_income_2020,91000.0
35061358,Population_2021,825.0
35061358,Total_households,315.0
35061358,Median_income_2020,101000.0
35061361,Population_2021,408.0
35061361,Total_households,125.0
35061361,Median_income_2020,72500.0
35061362,Population_2021,2006.0
35061362,Total_households,580.0
35061362,Median_income_2020,65000.0
35061363,Population_2021,242.0
35061363,Total_households,70.0
35061363,Median_income_2020,
35061364,Population_2021,383.0
35061364,Total_households,110.0
35061364,Median_income_2020,90000.0
35061365,Population_2021,353.0
35061365,Total_households,115.0
35061365,Median_income_2020,74500.0
35061366,Population_2021,754.0
35061366,Total_households,360.0
35061366,Median_income_2020,82000.0
35061367,Population_2021,526.0
35061367,Total_households,240.0
35061367,Median_income_2020,98000.0
35061368,Population_2021,388.0
35061368,Total_households,155.0
35061368,Median_income_2020,99000.0
35061369,Population_2021,634.0
35061369,Total_households,275.0
35061369,Median_income_2020,109000.0
35061370,Population_2021,338.0
35061370,Total_households,145.0
35061370,Median_income_2020,101000.0
35061371,Population_2021,1276.0
35061371,Total_households,505.0
35061371,Median_income_2020,132000.0
35061372,Population_2021,377.0
35061372,Total_households,170.0
35061372,Median_income_2020,88000.0
35061373,Population_2021,478.0
35061373,Total_households,180.0
35061373,Median_income_2020,131000.0
35061374,Population_2021,605.0
35061374,Total_households,230.0
35061374,Median_income_2020,168000.0
35061375,Population_2021,585.0
35061375,Total_households,185.0
35061375,Median_income_2020,178000.0
35061376,Population_2021,540.0
35061376,Total_households,205.0
35061376,Median_income_2020,147000.0
35061377,Population_2021,588.0
35061377,Total_households,190.0
35061377,Median_income_2020,156000.0
35061378,Population_2021,1042.0
35061378,Total_households,320.0
35061378,Median_income_2020,218000.0
35061379,Population_2021,1013.0
35061379,Total_households,335.0
35061379,Median_income_2020,178000.0
35061380,Population_2021,1083.0
35061380,Total_households,420.0
35061380,Median_income_2020,125000.0
35061381,Population_2021,1116.0
35061381,Total_households,360.0
35061381,Median_income_2020,142000.0
35061382,Population_2021,645.0
35061382,Total_households,230.0
35061382,Median_income_2020,158000.0
35061383,Population_2021,615.0
35061383,Total_households,195.0
35061383,Median_income_2020,204000.0
35061384,Population_2021,442.0
35061384,Total_households,150.0
35061384,Median_income_2020,162000.0
35061385,Population_2021,535.0
35061385,Total_households,170.0
35061385,Median_income_2020,166000.0
35061386,Population_2021,644.0
35061386,Total_households,255.0
35061386,Median_income_2020,113000.0
35061387,Population_2021,3449.0
35061387,Total_households,1230.0
35061387,Median_income_2020,85000.0
35061388,Population_2021,2582.0
35061388,Total_households,955.0
35061388,Median_income_2020,78000.0
35061389,Population_2021,1374.0
35061389,Total_households,560.0
35061389,Median_income_2020,71000.0
35061390,Population_2021,300.0
35061390,Total_households,165.0
35061390,Median_income_2020,111000.0
35061391,Population_2021,10.0
35061391,Total_households,
35061391,Median_income_2020,
35061393,Population_2021,335.0
35061393,Total_households,115.0
35061393,Median_income_2020,143000.0
35061394,Population_2021,468.0
35061394,Total_households,160.0
35061394,Median_income_2020,115000.0
35061395,Population_2021,473.0
35061395,Total_households,165.0
35061395,Median_income_2020,118000.0
35061396,Population_2021,399.0
35061396,Total_households,135.0
35061396,Median_income_2020,131000.0
35061398,Population_2021,606.0
35061398,Total_households,260.0
35061398,Median_income_2020,89000.0
35061399,Population_2021,237.0
35061399,Total_households,75.0
35061399,Median_income_2020,
35061400,Population_2021,535.0
35061400,Total_households,180.0
35061400,Median_income_2020,137000.0
35061401,Population_2021,458.0
35061401,Total_households,160.0
35061401,Median_income_2020,135000.0
35061403,Population_2021,761.0
35061403,Total_households,225.0
35061403,Median_income_2020,133000.0
35061404,Population_2021,697.0
35061404,Total_households,200.0
35061404,Median_income_2020,172000.0
35061406,Population_2021,765.0
35061406,Total_households,240.0
35061406,Median_income_2020,128000.0
35061410,Population_2021,656.0
35061410,Total_households,195.0
35061410,Median_income_2020,154000.0
35061411,Population_2021,1285.0
35061411,Total_households,405.0
35061411,Median_income_2020,131000.0
35061412,Population_2021,511.0
35061412,Total_households,175.0
35061412,Median_income_2020,135000.0
35061413,Population_2021,459.0
35061413,Total_households,175.0
35061413,Median_income_2020,114000.0
35061414,Population_2021,643.0
35061414,Total_households,225.0
35061414,Median_income_2020,118000.0
35061415,Population_2021,589.0
35061415,Total_households,185.0
35061415,Median_income_2020,140000.0
35061416,Population_2021,523.0
35061416,Total_households,165.0
35061416,Median_income_2020,130000.0
35061417,Population_2021,486.0
35061417,Total_households,140.0
35061417,Median_income_2020,174000.0
35061418,Population_2021,581.0
35061418,Total_households,160.0
35061418,Median_income_2020,192000.0
35061419,Population_2021,588.0
35061419,Total_households,170.0
35061419,Median_income_2020,158000.0
35061420,Population_2021,443.0
35061420,Total_households,165.0
35061420,Median_income_2020,107000.0
35061421,Population_2021,487.0
35061421,Total_households,165.0
35061421,Median_income_2020,126000.0
35061422,Population_2021,563.0
35061422,Total_households,170.0
35061422,Median_income_2020,132000.0
35061423,Population_2021,514.0
35061423,Total_households,175.0
35061423,Median_income_2020,127000.0
35061424,Population_2021,503.0
35061424,Total_households,165.0
35061424,Median_income_2020,128000.0
35061427,Population_2021,502.0
35061427,Total_households,135.0
35061427,Median_income_2020,204000.0
35061428,Population_2021,355.0
35061428,Total_households,115.0
35061428,Median_income_2020,159000.0
35061442,Population_2021,641.0
35061442,Total_households,235.0
35061442,Median_income_2020,120000.0
35061443,Population_2021,1128.0
35061443,Total_households,370.0
35061443,Median_income_2020,170000.0
35061444,Population_2021,1604.0
35061444,Total_households,555.0
35061444,Median_income_2020,168000.0
35061445,Population_2021,329.0
35061445,Total_households,125.0
35061445,Median_income_2020,151000.0
35061446,Population_2021,1523.0
35061446,Total_households,490.0
35061446,Median_income_2020,178000.0
35061447,Population_2021,2022.0
35061447,Total_households,650.0
35061447,Median_income_2020,158000.0
35061448,Population_2021,1313.0
35061448,Total_households,455.0
35061448,Median_income_2020,149000.0
35061449,Population_2021,335.0
35061449,Total_households,120.0
35061449,Median_income_2020,134000.0
35061450,Population_2021,662.0
35061450,Total_households,235.0
35061450,Median_income_2020,126000.0
35061451,Population_2021,433.0
35061451,Total_households,155.0
35061451,Median_income_2020,164000.0
35061452,Population_2021,369.0
35061452,Total_households,135.0
35061452,Median_income_2020,120000.0
35061453,Population_2021,555.0
35061453,Total_households,210.0
35061453,Median_income_2020,99000.0
35061454,Population_2021,874.0
35061454,Total_households,295.0
35061454,Median_income_2020,159000.0
35061455,Population_2021,438.0
35061455,Total_households,170.0
35061455,Median_income_2020,120000.0
35061456,Population_2021,431.0
35061456,Total_households,140.0
35061456,Median_income_2020,139000.0
35061457,Population_2021,456.0
35061457,Total_households,195.0
35061457,Median_income_2020,95000.0
35061458,Population_2021,620.0
35061458,Total_households,220.0
35061458,Median_income_2020,140000.0
35061459,Population_2021,657.0
35061459,Total_households,240.0
35061459,Median_income_2020,128000.0
35061460,Population_2021,623.0
35061460,Total_households,195.0
35061460,Median_income_2020,124000.0
35061461,Population_2021,448.0
35061461,Total_households,160.0
35061461,Median_income_2020,106000.0
35061462,Population_2021,632.0
35061462,Total_households,230.0
35061462,Median_income_2020,106000.0
35061463,Population_2021,562.0
35061463,Total_households,200.0
35061463,Median_income_2020,139000.0
35061464,Population_2021,386.0
35061464,Total_households,120.0
35061464,Median_income_2020,174000.0
35061465,Population_2021,326.0
35061465,Total_households,130.0
35061465,Median_income_2020,108000.0
35061466,Population_2021,447.0
35061466,Total_households,175.0
35061466,Median_income_2020,97000.0
35061467,Population_2021,343.0
35061467,Total_households,130.0
35061467,Median_income_2020,114000.0
35061468,Population_2021,550.0
35061468,Total_households,185.0
35061468,Median_income_2020,143000.0
35061469,Population_2021,423.0
35061469,Total_households,155.0
35061469,Median_income_2020,121000.0
35061470,Population_2021,423.0
35061470,Total_households,155.0
35061470,Median_income_2020,113000.0
35061471,Population_2021,506.0
35061471,Total_households,190.0
35061471,Median_income_2020,137000.0
35061472,Population_2021,383.0
35061472,Total_households,155.0
35061472,Median_income_2020,123000.0
35061473,Population_2021,561.0
35061473,Total_households,210.0
35061473,Median_income_2020,121000.0
35061474,Population_2021,739.0
35061474,Total_households,215.0
35061474,Median_income_2020,166000.0
35061475,Population_2021,939.0
35061475,Total_households,295.0
35061475,Median_income_2020,226000.0
35061476,Population_2021,749.0
35061476,Total_households,290.0
35061476,Median_income_2020,147000.0
35061477,Population_2021,404.0
35061477,Total_households,140.0
35061477,Median_income_2020,103000.0
35061478,Population_2021,551.0
35061478,Total_households,200.0
35061478,Median_income_2020,144000.0
35061479,Population_2021,455.0
35061479,Total_households,185.0
35061479,Median_income_2020,96000.0
35061480,Population_2021,466.0
35061480,Total_households,180.0
35061480,Median_income_2020,104000.0
35061481,Population_2021,593.0
35061481,Total_households,240.0
35061481,Median_income_2020,109000.0
35061482,Population_2021,597.0
35061482,Total_households,220.0
35061482,Median_income_2020,105000.0
35061483,Population_2021,611.0
35061483,Total_households,255.0
35061483,Median_income_2020,83000.0
35061487,Population_2021,878.0
35061487,Total_households,430.0
35061487,Median_income_2020,149000.0
35061488,Population_2021,468.0
35061488,Total_households,195.0
35061488,Median_income_2020,119000.0
35061494,Population_2021,569.0
35061494,Total_households,165.0
35061494,Median_income_2020,139000.0
35061495,Population_2021,668.0
35061495,Total_households,210.0
35061495,Median_income_2020,119000.0
35061496,Population_2021,2094.0
35061496,Total_households,865.0
35061496,Median_income_2020,109000.0
35061497,Population_2021,531.0
35061497,Total_households,175.0
35061497,Median_income_2020,148000.0
35061498,Population_2021,671.0
35061498,Total_households,235.0
35061498,Median_income_2020,170000.0
35061499,Population_2021,509.0
35061499,Total_households,185.0
35061499,Median_income_2020,133000.0
35061500,Population_2021,626.0
35061500,Total_households,205.0
35061500,Median_income_2020,152000.0
35061501,Population_2021,561.0
35061501,Total_households,205.0
35061501,Median_income_2020,132000.0
35061502,Population_2021,871.0
35061502,Total_households,280.0
35061502,Median_income_2020,164000.0
35061503,Population_2021,724.0
35061503,Total_households,245.0
35061503,Median_income_2020,160000.0
35061504,Population_2021,478.0
35061504,Total_households,175.0
35061504,Median_income_2020,134000.0
35061505,Population_2021,431.0
35061505,Total_households,160.0
35061505,Median_income_2020,132000.0
35061506,Population_2021,478.0
35061506,Total_households,180.0
35061506,Median_income_2020,119000.0
35061507,Population_2021,448.0
